# Head Office – Management
"István,Kovács,Management,OU=Management,OU=HeadOffice,DC=corp,DC=migazzi,DC=com"
"Katalin,Nagy,Management,OU=Management,OU=HeadOffice,DC=corp,DC=migazzi,DC=com"
"Ádám,Tóth,Management,OU=Management,OU=HeadOffice,DC=corp,DC=migazzi,DC=com"
"Beáta,Szabó,HR,OU=HR,OU=HeadOffice,DC=corp,DC=migazzi,DC=com"
"László,Farkas,HR,OU=HR,OU=HeadOffice,DC=corp,DC=migazzi,DC=com"
"Eszter,Papp,HR,OU=HR,OU=HeadOffice,DC=corp,DC=migazzi,DC=com"
"Péter,Varga,Finance,OU=Finance,OU=HeadOffice,DC=corp,DC=migazzi,DC=com"
"Tamás,Kiss,Finance,OU=Finance,OU=HeadOffice,DC=corp,DC=migazzi,DC=com"
"Judit,Molnár,Finance,OU=Finance,OU=HeadOffice,DC=corp,DC=migazzi,DC=com"
"Miklós,Szűcs,IT,OU=IT,OU=HeadOffice,DC=corp,DC=migazzi,DC=com"
"Richárd,Balogh,IT,OU=IT,OU=HeadOffice,DC=corp,DC=migazzi,DC=com"
"Gábor,Hegedűs,IT,OU=IT,OU=HeadOffice,DC=corp,DC=migazzi,DC=com"
"Noémi,Horváth,Marketing,OU=Marketing,OU=HeadOffice,DC=corp,DC=migazzi,DC=com"
"Andrea,Fekete,Marketing,OU=Marketing,OU=HeadOffice,DC=corp,DC=migazzi,DC=com"
"Marcell,Székely,Marketing,OU=Marketing,OU=HeadOffice,DC=corp,DC=migazzi,DC=com"
"Zoltán,Lukács,Engineering,OU=Engineering,OU=HeadOffice,DC=corp,DC=migazzi,DC=com"
"Dávid,Tamási,Engineering,OU=Engineering,OU=HeadOffice,DC=corp,DC=migazzi,DC=com"
"Áron,Kozma,Engineering,OU=Engineering,OU=HeadOffice,DC=corp,DC=migazzi,DC=com"
"Attila,Mészáros,Sales,OU=Sales,OU=RetailShop,DC=corp,DC=migazzi,DC=com"
"Rita,Juhász,Sales,OU=Sales,OU=RetailShop,DC=corp,DC=migazzi,DC=com"
"Márton,Török,CustomerService,OU=CustomerService,OU=RetailShop,DC=corp,DC=migazzi,DC=com"
"Szilvia,Barta,CustomerService,OU=CustomerService,OU=RetailShop,DC=corp,DC=migazzi,DC=com"
"Ferenc,Szabados,Production,OU=Production,OU=FactoryWarehouse,DC=corp,DC=migazzi,DC=com"
"Éva,Major,Production,OU=Production,OU=FactoryWarehouse,DC=corp,DC=migazzi,DC=com"
"Bence,Oláh,Production,OU=Production,OU=FactoryWarehouse,DC=corp,DC=migazzi,DC=com"
"Imre,Bognár,Warehouse,OU=Warehouse,OU=FactoryWarehouse,DC=corp,DC=migazzi,DC=com"
"Tímea,Fehér,Warehouse,OU=Warehouse,OU=FactoryWarehouse,DC=corp,DC=migazzi,DC=com"
"András,Márton,Procurement,OU=Procurement,OU=FactoryWarehouse,DC=corp,DC=migazzi,DC=com"
"Krisztina,Csonka,Procurement,OU=Procurement,OU=FactoryWarehouse,DC=corp,DC=migazzi,DC=com"
"János,Virág,Maintenance,OU=Maintenance,OU=FactoryWarehouse,DC=corp,DC=migazzi,DC=com"
"Mihály,Pintér,Maintenance,OU=Maintenance,OU=FactoryWarehouse,DC=corp,DC=migazzi,DC=com"
"Balázs,Károly,RnD,OU=RnD,OU=FactoryWarehouse,DC=corp,DC=migazzi,DC=com"
"Réka,Vajda,RnD,OU=RnD,OU=FactoryWarehouse,DC=corp,DC=migazzi,DC=com"
